lesson,student_id,reason
2,S017,scheduled absence
2,S034,scheduled absence
2,S051,scheduled absence
2,S068,scheduled absence
2,S085,scheduled absence
2,S102,scheduled absence
2,S119,scheduled absence
2,S136,scheduled absence
2,S153,scheduled absence
2,S170,scheduled absence
2,S187,scheduled absence
2,S204,scheduled absence
2,S221,scheduled absence
2,S238,scheduled absence
2,S255,scheduled absence
2,S272,scheduled absence
2,S289,scheduled absence
4,S029,scheduled absence
4,S058,scheduled absence
4,S087,scheduled absence
4,S116,scheduled absence
4,S145,scheduled absence
4,S174,scheduled absence
4,S203,scheduled absence
4,S232,scheduled absence
4,S261,scheduled absence
4,S290,scheduled absence
