student_id,cohort,assignment,seed
S001,treatment,individual_randomized,20260825
S002,control,individual_randomized,20260825
S003,treatment,individual_randomized,20260825
S004,control,individual_randomized,20260825
S005,treatment,individual_randomized,20260825
S006,control,individual_randomized,20260825
S007,treatment,individual_randomized,20260825
S008,control,individual_randomized,20260825
S009,treatment,individual_randomized,20260825
S010,control,individual_randomized,20260825
S011,treatment,individual_randomized,20260825
S012,control,individual_randomized,20260825
S013,treatment,individual_randomized,20260825
S014,control,individual_randomized,20260825
S015,treatment,individual_randomized,20260825
S016,control,individual_randomized,20260825
S017,treatment,individual_randomized,20260825
S018,control,individual_randomized,20260825
S019,treatment,individual_randomized,20260825
S020,control,individual_randomized,20260825
S021,treatment,individual_randomized,20260825
S022,control,individual_randomized,20260825
S023,treatment,individual_randomized,20260825
S024,control,individual_randomized,20260825
S025,treatment,individual_randomized,20260825
S026,control,individual_randomized,20260825
S027,treatment,individual_randomized,20260825
S028,control,individual_randomized,20260825
S029,treatment,individual_randomized,20260825
S030,control,individual_randomized,20260825
S031,treatment,individual_randomized,20260825
S032,control,individual_randomized,20260825
S033,treatment,individual_randomized,20260825
S034,control,individual_randomized,20260825
S035,treatment,individual_randomized,20260825
S036,control,individual_randomized,20260825
S037,treatment,individual_randomized,20260825
S038,control,individual_randomized,20260825
S039,treatment,individual_randomized,20260825
S040,control,individual_randomized,20260825
S041,treatment,individual_randomized,20260825
S042,control,individual_randomized,20260825
S043,treatment,individual_randomized,20260825
S044,control,individual_randomized,20260825
S045,treatment,individual_randomized,20260825
S046,control,individual_randomized,20260825
S047,treatment,individual_randomized,20260825
S048,control,individual_randomized,20260825
S049,treatment,individual_randomized,20260825
S050,control,individual_randomized,20260825
S051,treatment,individual_randomized,20260825
S052,control,individual_randomized,20260825
S053,treatment,individual_randomized,20260825
S054,control,individual_randomized,20260825
S055,treatment,individual_randomized,20260825
S056,control,individual_randomized,20260825
S057,treatment,individual_randomized,20260825
S058,control,individual_randomized,20260825
S059,treatment,individual_randomized,20260825
S060,control,individual_randomized,20260825
S061,treatment,individual_randomized,20260825
S062,control,individual_randomized,20260825
S063,treatment,individual_randomized,20260825
S064,control,individual_randomized,20260825
S065,treatment,individual_randomized,20260825
S066,control,individual_randomized,20260825
