student_id,learning_score,product_engagement
S001,49.79,69.51
S002,37.09,64.02
S003,54.45,97.48
S004,31.87,57.27
S005,100,67.16
S006,66.29,75.13
S007,73.83,81.48
S008,29.36,67.57
S009,100,95.43
S010,100,56.04
S011,49.61,69.41
S012,70.59,58.76
S013,86.34,104.56
S014,85.06,74.48
S015,99.35,84.01
S016,91.81,56.78
S017,100,90.01
S018,88.12,80.42
S019,100,83.06
S020,65.53,72.36
S021,67.99,68.74
S022,75.24,72.9
S023,77.42,71.68
S024,100,50.12
S025,100,76.5
S026,59.54,86.65
S027,76.82,91.54
S028,57.03,81.25
S029,82.51,89.54
S030,93.04,78.34
S031,95.84,65.16
S032,68.38,66.04
S033,64.64,103.84
S034,91.64,51.96
S035,63.74,98.68
S036,51.08,82.82
S037,100,76.16
S038,50.71,76.5
S039,82.96,97.08
S040,100,77.04
S041,60.43,83.97
S042,53.48,62.51
S043,95.71,65.0
S044,67.2,49.42
S045,88.25,62.71
S046,77.11,64.35
S047,86.85,96.67
S048,75.93,70.81
S049,54.22,76.25
S050,77.52,61.0
S051,78.5,88.3
S052,100,72.57
S053,73.56,60.67
S054,70.76,74.37
S055,62.22,66.43
S056,44.19,72.12
S057,82.18,64.11
S058,91.67,68.93
S059,31.79,101.27
S060,81.36,70.07
S061,87.81,77.43
S062,59.44,69.74
S063,59.13,90.89
S064,90.55,57.58
S065,75.27,85.45
S066,81.71,49.21
S067,97.8,94.89
S068,78.35,70.63
S069,90.21,60.82
S070,79.29,48.27
S071,96.07,88.93
S072,61.33,83.5
S073,95.54,83.18
S074,51.87,47.56
S075,100,76.38
S076,87.04,54.75
S077,87.67,76.84
S078,100,84.68
S079,61.39,80.05
S080,51.43,89.71
S081,67.63,73.73
S082,59.4,56.39
S083,100,82.19
S084,27.34,57.85
S085,100,99.06
S086,99.57,81.58
S087,70.07,90.94
S088,60.2,83.53
S089,95.12,71.03
S090,65.95,64.84
S091,100,90.84
S092,100,61.66
S093,59.02,83.93
S094,60.81,84.64
S095,83.06,60.46
S096,33.02,66.14
S097,48.77,83.18
S098,47.62,91.01
S099,57.24,89.17
S100,71.43,80.39
S101,100,67.41
S102,52.39,85.55
S103,97.82,84.25
S104,71.16,70.91
S105,100,103.12
S106,37.72,85.63
S107,78.51,74.0
S108,75.87,66.53
S109,41.09,96.48
S110,39.3,67.03
S111,100,72.53
S112,82.02,61.61
S113,55.69,102.99
S114,95.04,60.01
S115,38.81,74.02
S116,78.32,74.64
S117,100,95.43
S118,100,70.97
S119,34.98,84.76
S120,79.22,65.97
S121,56.31,90.81
S122,65.51,54.86
S123,96.85,90.22
S124,52.14,66.72
S125,46.07,52.78
S126,78.7,73.82
S127,67.69,71.74
S128,91.46,58.6
S129,75.86,82.42
S130,75.97,90.21
S131,95.95,76.84
S132,47.87,76.91
S133,100,64.09
S134,49.3,87.04
S135,67.35,76.6
S136,54.58,82.18
S137,80.49,89.62
S138,81.51,75.22
S139,54.89,88.76
S140,49.49,81.39
S141,100,56.65
S142,100,48.68
S143,51.86,67.01
S144,84.58,80.6
S145,45.06,91.17
S146,63.06,55.4
S147,70.74,67.83
S148,31.5,53.45
S149,44.53,103.69
S150,99.27,86.39
S151,83.7,57.78
S152,64.36,80.99
S153,100,87.03
S154,100,88.9
S155,96.45,88.85
S156,24.97,78.28
S157,100,82.22
S158,49.57,87.55
S159,100,53.2
S160,64.97,55.97
S161,100,88.55
S162,78.9,56.31
S163,100,80.18
S164,50.11,75.75
S165,35.15,70.33
S166,60.17,45.05
S167,92.59,76.04
S168,56.68,83.65
S169,54.41,84.22
S170,98.29,60.43
S171,100,66.63
S172,90.42,87.34
S173,100,106.63
S174,50.04,65.94
S175,81.61,72.01
S176,97.34,64.27
S177,100,68.76
S178,58.1,81.64
S179,68.83,85.82
S180,71.19,61.52
S181,96.81,65.67
S182,81.6,51.84
S183,65.25,92.11
S184,53.73,75.45
S185,67.01,94.38
S186,31.52,58.68
S187,74.7,95.97
S188,51.26,73.97
S189,100,84.0
S190,92.25,80.81
S191,58.47,71.94
S192,39.58,55.38
S193,66.29,70.33
S194,100,57.62
S195,82.67,64.64
S196,89.73,76.11
S197,100,73.4
S198,88.58,59.76
S199,56.53,80.11
S200,58.48,61.46
S201,90.84,87.3
S202,38.98,59.93
S203,80.84,81.15
S204,42.23,50.62
S205,71.93,54.63
S206,68.65,59.78
S207,78.12,93.96
S208,40.04,52.48
S209,59.49,68.08
S210,90.54,52.41
S211,75.76,104.34
S212,100,75.29
S213,100,80.74
S214,75.61,75.41
S215,49.69,85.19
S216,54.23,58.68
S217,88.27,89.93
S218,94.81,61.36
S219,100,93.33
S220,85.44,63.67
S221,29.68,76.87
S222,98.87,76.01
