student_id,learning_score,product_engagement
S001,32.1,55.68
S002,26.4,71.84
S003,41.4,62.63
S004,25.3,45.04
S005,95.5,45.15
S006,58.1,58.38
S007,54.5,76.78
S008,24.8,69.47
S009,98.2,74.57
S010,97.2,50.67
S011,31.8,44.45
S012,65.9,65.95
S013,66.4,59.83
S014,78.0,69.6
S015,88.1,61.61
S016,80.3,44.87
S017,97.8,64.34
S018,86.0,68.2
S019,88.9,48.91
S020,53.6,49.51
S021,47.0,65.59
S022,63.7,44.07
S023,68.7,53.0
S024,90.1,74.84
S025,98.1,44.26
S026,53.9,61.91
S027,56.4,45.83
S028,47.6,49.09
S029,71.0,59.02
S030,86.1,50.04
S031,86.5,62.6
S032,64.1,45.01
S033,50.7,41.07
S034,80.4,54.0
S035,49.8,68.96
S036,41.4,52.38
S037,91.0,57.54
S038,45.9,68.21
S039,62.4,63.12
S040,98.2,58.89
S041,50.0,54.84
S042,48.0,42.97
S043,83.3,64.97
S044,56.5,64.28
S045,75.9,62.73
S046,71.2,79.25
S047,75.3,42.58
S048,69.5,57.57
S049,37.5,73.41
S050,67.9,72.06
S051,64.8,61.86
S052,95.3,43.04
S053,62.1,60.77
S054,65.4,79.0
S055,40.7,75.31
S056,36.5,57.91
S057,62.8,70.08
S058,87.1,68.65
S059,21.2,65.75
S060,73.3,65.83
S061,72.1,72.9
S062,47.9,54.36
S063,40.2,58.07
S064,80.9,48.07
S065,57.6,41.3
S066,71.2,70.1
S067,77.9,52.71
S068,73.9,69.05
S069,81.2,41.81
S070,69.2,79.72
S071,82.2,62.82
S072,58.3,75.45
S073,75.4,70.35
S074,44.0,51.15
S075,97.0,76.18
S076,77.1,57.15
S077,72.4,54.55
S078,98.9,50.14
S079,41.5,77.14
S080,47.7,46.43
S081,53.4,49.12
S082,49.3,47.2
S083,99.2,48.81
S084,24.5,63.4
S085,93.4,56.48
S086,88.5,64.85
S087,60.0,66.55
S088,53.1,49.13
S089,77.5,79.18
S090,60.9,72.83
S091,95.5,62.05
S092,99.7,59.29
S093,46.1,59.31
S094,53.4,48.14
S095,71.9,49.66
S096,28.3,58.66
S097,36.1,43.45
S098,37.8,63.84
S099,41.0,73.64
S100,63.3,64.04
S101,96.1,58.03
S102,43.7,45.34
S103,77.8,71.63
