student_id,lesson,absent,score,concept,calculate,interpret,tier
S001,4,false,0.537,0.515,0.564,0.532,t2
S002,4,false,0.32,0.308,0.351,0.302,t1
S003,4,false,0.44,0.373,0.559,0.387,t1
S004,4,false,0.275,0.337,0.281,0.207,t1
S005,4,false,1.0,1.0,1.0,1.0,t3
S006,4,false,0.644,0.69,0.62,0.622,t2
S007,4,false,0.612,0.565,0.527,0.743,t2
S008,4,false,0.3,0.198,0.391,0.312,t1
S009,4,false,0.977,0.961,1.0,0.971,t3
S010,4,false,1.0,1.0,1.0,1.0,t3
S011,4,false,0.418,0.367,0.366,0.522,t1
S012,4,false,0.68,0.725,0.699,0.616,t2
S013,4,false,0.782,0.795,0.777,0.775,t2
S014,4,false,0.863,0.786,0.965,0.839,t3
S015,4,false,0.901,0.897,0.99,0.816,t3
S016,4,false,0.969,0.95,1.0,0.957,t3
S017,4,false,1.0,1.0,1.0,1.0,t3
S018,4,false,0.85,1.0,1.0,0.55,t3
S019,4,false,0.957,1.0,1.0,0.87,t3
S020,4,false,0.602,0.67,0.684,0.453,t2
S021,4,false,0.447,0.44,0.436,0.466,t1
S022,4,false,0.707,0.783,0.768,0.569,t2
S023,4,false,0.827,0.871,0.73,0.879,t3
S024,4,false,0.995,1.0,1.0,0.986,t3
S025,4,false,0.991,1.0,0.972,1.0,t3
S026,4,false,0.544,0.695,0.496,0.442,t2
S027,4,false,0.583,0.644,0.627,0.478,t2
S028,4,false,0.479,0.51,0.456,0.47,t1
S029,4,true,,,,,t2
S030,4,false,0.981,0.987,0.971,0.985,t3
S031,4,false,1.0,1.0,1.0,1.0,t3
S032,4,false,0.745,0.806,0.77,0.66,t2
S033,4,false,0.611,0.558,0.608,0.666,t2
S034,4,false,0.898,0.869,1.0,0.825,t3
S035,4,false,0.625,0.653,0.738,0.485,t2
S036,4,false,0.556,0.548,0.529,0.591,t2
S037,4,false,0.823,1.0,1.0,0.47,t3
S038,4,false,0.505,0.586,0.399,0.53,t2
S039,4,false,0.701,0.779,0.612,0.711,t2
S040,4,false,0.991,0.982,0.991,1.0,t3
S041,4,false,0.614,0.592,0.642,0.608,t2
S042,4,false,0.586,0.673,0.528,0.558,t2
S043,4,false,0.961,0.882,1.0,1.0,t3
S044,4,false,0.718,1.0,0.285,0.869,t2
S045,4,false,0.852,0.796,0.929,0.832,t3
S046,4,false,0.81,0.704,0.934,0.792,t3
S047,4,false,0.8,0.776,0.937,0.687,t2
S048,4,false,0.78,0.819,0.831,0.689,t2
S049,4,false,0.51,0.492,0.524,0.515,t2
S050,4,false,0.714,0.697,0.658,0.788,t2
S051,4,false,0.71,0.779,0.662,0.69,t2
S052,4,false,0.957,1.0,0.979,0.892,t3
S053,4,false,0.65,0.667,0.635,0.649,t2
S054,4,false,0.84,0.758,0.914,0.848,t3
S055,4,false,0.513,0.518,0.607,0.414,t2
S056,4,false,0.439,0.513,0.426,0.379,t1
S057,4,false,0.608,0.665,0.638,0.522,t2
