student_id,name,eal,language_support,initial_mastery,initial_tier
S001,Student 001,true,true,0.321,t1
S002,Student 002,true,true,0.264,t1
S003,Student 003,true,true,0.414,t1
S004,Student 004,true,true,0.253,t1
S005,Student 005,true,true,0.955,t3
S006,Student 006,true,true,0.581,t2
S007,Student 007,true,true,0.545,t2
S008,Student 008,true,true,0.248,t1
S009,Student 009,true,true,0.982,t3
S010,Student 010,true,true,0.972,t3
S011,Student 011,true,true,0.318,t1
S012,Student 012,true,true,0.659,t2
S013,Student 013,true,true,0.664,t2
S014,Student 014,true,true,0.78,t2
S015,Student 015,true,true,0.881,t3
S016,Student 016,true,true,0.803,t3
S017,Student 017,true,true,0.978,t3
S018,Student 018,true,true,0.86,t3
S019,Student 019,true,true,0.889,t3
S020,Student 020,true,true,0.536,t2
S021,Student 021,true,true,0.47,t1
S022,Student 022,true,true,0.637,t2
S023,Student 023,true,true,0.687,t2
S024,Student 024,true,true,0.901,t3
S025,Student 025,true,true,0.981,t3
S026,Student 026,true,true,0.539,t2
S027,Student 027,true,true,0.564,t2
S028,Student 028,true,true,0.476,t1
S029,Student 029,true,true,0.71,t2
S030,Student 030,true,true,0.861,t3
S031,Student 031,true,true,0.865,t3
S032,Student 032,true,true,0.641,t2
S033,Student 033,true,true,0.507,t2
S034,Student 034,true,true,0.804,t3
S035,Student 035,true,true,0.498,t1
S036,Student 036,true,true,0.414,t1
S037,Student 037,true,true,0.91,t3
S038,Student 038,true,true,0.459,t1
S039,Student 039,true,true,0.624,t2
S040,Student 040,true,true,0.982,t3
S041,Student 041,true,true,0.5,t2
S042,Student 042,true,true,0.48,t1
S043,Student 043,true,true,0.833,t3
S044,Student 044,true,true,0.565,t2
S045,Student 045,true,true,0.759,t2
S046,Student 046,true,true,0.712,t2
S047,Student 047,true,true,0.753,t2
S048,Student 048,true,true,0.695,t2
S049,Student 049,true,true,0.375,t1
S050,Student 050,true,true,0.679,t2
S051,Student 051,true,true,0.648,t2
S052,Student 052,true,true,0.953,t3
S053,Student 053,true,true,0.621,t2
S054,Student 054,true,true,0.654,t2
S055,Student 055,true,true,0.407,t1
S056,Student 056,true,true,0.365,t1
S057,Student 057,true,true,0.628,t2
S058,Student 058,true,true,0.871,t3
S059,Student 059,true,true,0.212,t1
S060,Student 060,true,true,0.733,t2
S061,Student 061,true,true,0.721,t2
S062,Student 062,true,true,0.479,t1
S063,Student 063,true,true,0.402,t1
S064,Student 064,true,true,0.809,t3
S065,Student 065,true,true,0.576,t2
S066,Student 066,true,true,0.712,t2
S067,Student 067,true,true,0.779,t2
S068,Student 068,true,true,0.739,t2
S069,Student 069,true,true,0.812,t3
S070,Student 070,true,true,0.692,t2
S071,Student 071,true,true,0.822,t3
S072,Student 072,true,true,0.583,t2
S073,Student 073,true,true,0.754,t2
S074,Student 074,true,true,0.44,t1
S075,Student 075,true,true,0.97,t3
S076,Student 076,true,true,0.771,t2
S077,Student 077,true,true,0.724,t2
S078,Student 078,true,true,0.989,t3
S079,Student 079,true,true,0.415,t1
S080,Student 080,true,true,0.477,t1
S081,Student 081,true,true,0.534,t2
S082,Student 082,true,true,0.493,t1
S083,Student 083,true,true,0.992,t3
S084,Student 084,true,true,0.245,t1
S085,Student 085,true,true,0.934,t3
S086,Student 086,true,true,0.885,t3
S087,Student 087,true,true,0.6,t2
S088,Student 088,true,true,0.531,t2
S089,Student 089,true,true,0.775,t2
S090,Student 090,true,true,0.609,t2
S091,Student 091,true,true,0.955,t3
S092,Student 092,true,true,0.997,t3
S093,Student 093,true,true,0.461,t1
S094,Student 094,true,true,0.534,t2
S095,Student 095,true,true,0.719,t2
S096,Student 096,true,true,0.283,t1
S097,Student 097,true,true,0.361,t1
S098,Student 098,true,true,0.378,t1
S099,Student 099,true,true,0.41,t1
S100,Student 100,true,true,0.633,t2
S101,Student 101,true,true,0.961,t3
S102,Student 102,true,true,0.437,t1
S103,Student 103,true,true,0.778,t2
S104,Student 104,true,true,0.638,t2
S105,Student 105,true,true,0.819,t3
S106,Student 106,true,true,0.306,t1
S107,Student 107,true,true,0.685,t2
S108,Student 108,true,true,0.713,t2
S109,Student 109,true,true,0.257,t1
S110,Student 110,true,true,0.321,t1
S111,Student 111,true,true,0.935,t3
S112,Student 112,true,true,0.734,t2
S113,Student 113,true,true,0.38,t1
S114,Student 114,true,true,0.832,t3
S115,Student 115,true,true,0.303,t1
S116,Student 116,true,true,0.691,t2
S117,Student 117,true,true,0.837,t3
S118,Student 118,true,true,0.984,t3
S119,Student 119,true,true,0.246,t1
S120,Student 120,true,true,0.701,t2
S121,Student 121,false,false,0.39,t1
S122,Student 122,false,false,0.584,t2
S123,Student 123,false,false,0.829,t3
S124,Student 124,false,false,0.481,t1
S125,Student 125,false,false,0.348,t1
S126,Student 126,false,false,0.682,t2
S127,Student 127,false,false,0.508,t2
S128,Student 128,false,false,0.881,t3
S129,Student 129,false,false,0.605,t2
S130,Student 130,false,false,0.696,t2
